City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Basco,PH,83.82,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
5,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
12,Istisu,AZ,80.78,few clouds,40.9457,48.0738,Shirvan Resort (Halal)
13,Bachaquero,VE,85.84,broken clouds,9.9694,-71.1494,casa de los dinosaurios
14,Ponta Do Sol,PT,77.0,broken clouds,32.6667,-17.1,Hotel do Campo
17,Butaritari,KI,82.49,few clouds,3.0707,172.7902,Isles Sunset Lodge
18,Puerto Narino,CO,87.75,few clouds,-3.7703,-70.3831,Eware Refugio Amazonico
20,Albany,US,82.81,overcast clouds,42.6001,-73.9662,
21,Busayra,JO,83.26,clear sky,30.7376,35.6078,Matan Eco Villege
25,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
30,Faanui,PF,78.85,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
38,Alappuzha,IN,78.53,overcast clouds,9.49,76.3264,Panoramic Sea Resort
42,Kavaratti,IN,81.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
47,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Hithadhoo,MV,82.87,light rain,-0.6,73.0833,Scoop Guest House
51,Jamestown,US,80.19,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Matamoros,MX,79.11,clear sky,25.5333,-103.25,Quinta Belem
60,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
62,Victoria,HK,86.32,light rain,22.2855,114.1577,Mini Hotel Central
65,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
66,Torbay,CA,77.88,broken clouds,47.6666,-52.7314,Gallows Cove
68,Atuona,PF,77.09,light rain,-9.8,-139.0333,Villa Enata
69,Kapit,MY,75.47,light rain,2.0167,112.9333,Hotel Meligai Kapit
71,Biscarrosse,FR,77.68,broken clouds,44.3945,-1.1672,Saint Hubert
73,Sinnamary,GF,86.65,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
75,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
78,Inirida,CO,75.25,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
