City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,New Norfolk,AU,-42.7826,147.0587,45.9,82,12,2.95,few clouds,2021-08-08 15:40:52
1,Ushuaia,AR,-54.8,-68.3,40.66,65,75,8.05,broken clouds,2021-08-08 15:36:58
2,Mar Del Plata,AR,-38.0023,-57.5575,50.02,66,0,13.8,light rain,2021-08-08 15:40:53
3,Basco,PH,20.4487,121.9702,83.82,86,100,23.38,overcast clouds,2021-08-08 15:40:53
4,Mercedes,AR,-34.6515,-59.4307,55.89,63,71,18.32,moderate rain,2021-08-08 15:40:54
5,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,60,20,14.97,few clouds,2021-08-08 15:32:38
6,Constitucion,CL,-35.3333,-72.4167,51.35,56,99,3.62,overcast clouds,2021-08-08 15:25:56
7,Vila Velha,BR,-20.3297,-40.2925,73.35,68,75,3.44,broken clouds,2021-08-08 15:31:51
8,Bredasdorp,ZA,-34.5322,20.0403,63.72,48,100,23.02,overcast clouds,2021-08-08 15:30:55
9,Quatre Cocos,MU,-20.2078,57.7625,70.09,88,94,20.78,light rain,2021-08-08 15:33:10
10,Stornoway,GB,58.2093,-6.3865,65.93,82,40,16.11,scattered clouds,2021-08-08 15:40:55
11,Severo-Kurilsk,RU,50.6789,156.125,52.83,78,47,10.04,scattered clouds,2021-08-08 15:31:18
12,Istisu,AZ,40.9457,48.0738,80.78,44,22,3.06,few clouds,2021-08-08 15:40:56
13,Bachaquero,VE,9.9694,-71.1494,85.84,69,72,9.62,broken clouds,2021-08-08 15:40:56
14,Ponta Do Sol,PT,32.6667,-17.1,77.0,78,64,2.55,broken clouds,2021-08-08 15:40:57
15,Pevek,RU,69.7008,170.3133,36.52,84,85,8.93,overcast clouds,2021-08-08 15:40:57
16,Avarua,CK,-21.2078,-159.775,73.45,73,90,3.44,overcast clouds,2021-08-08 15:40:57
17,Butaritari,KI,3.0707,172.7902,82.49,65,13,11.79,few clouds,2021-08-08 15:40:58
18,Puerto Narino,CO,-3.7703,-70.3831,87.75,38,12,0.83,few clouds,2021-08-08 15:40:58
19,Vaini,TO,-21.2,-175.2,62.76,94,40,2.3,scattered clouds,2021-08-08 15:40:58
20,Albany,US,42.6001,-73.9662,82.81,72,97,1.83,overcast clouds,2021-08-08 15:37:00
21,Busayra,JO,30.7376,35.6078,83.26,27,0,14.47,clear sky,2021-08-08 15:40:59
22,Olafsvik,IS,64.8945,-23.7142,57.49,77,99,7.02,overcast clouds,2021-08-08 15:41:00
23,Punta Arenas,CL,-53.15,-70.9167,42.91,70,75,18.41,broken clouds,2021-08-08 15:41:00
24,Klaksvik,FO,62.2266,-6.589,56.32,92,82,10.09,broken clouds,2021-08-08 15:31:18
25,East London,ZA,-33.0153,27.9116,76.14,41,0,5.75,clear sky,2021-08-08 15:29:55
26,Barrow,US,71.2906,-156.7887,37.42,93,90,10.36,overcast clouds,2021-08-08 15:41:01
27,San Quintin,MX,30.4833,-115.95,70.2,74,12,5.23,few clouds,2021-08-08 15:41:01
28,Rikitea,PF,-23.1203,-134.9692,74.59,73,44,11.39,scattered clouds,2021-08-08 15:41:01
29,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,90,6.91,overcast clouds,2021-08-08 15:31:02
30,Faanui,PF,-16.4833,-151.75,78.85,74,48,13.02,scattered clouds,2021-08-08 15:32:48
31,Hilo,US,19.7297,-155.09,73.13,84,90,6.91,overcast clouds,2021-08-08 15:36:29
